# Probe 0 (2 0 0)
# Probe 1 (3 -1.5 0)
# Probe 2 (3 1.5 0)
# Probe 3 (4 -2 0)
# Probe 4 (4 2 0)
#       Probe             0             1             2             3             4
#        Time
       0.1125             (0.943704 -0.00261436 8.45092e-22)             (0.995138 0.017534 -1.32075e-22)             (0.995138 -0.017534 1.15322e-22)             (1.00035 0.00683112 0)             (1.00035 -0.00683112 0)
        0.115             (0.943591 -0.00262115 8.4783e-22)             (0.995144 0.0175692 -1.36552e-22)             (0.995144 -0.0175692 1.18649e-22)             (1.00036 0.00685559 0)             (1.00036 -0.00685559 0)
       0.1175             (0.943478 -0.00262794 8.50492e-22)             (0.99515 0.0176044 -1.40684e-22)             (0.99515 -0.0176044 1.21703e-22)             (1.00036 0.00687981 0)             (1.00036 -0.00687981 0)
         0.12             (0.943364 -0.00263472 8.5328e-22)             (0.995156 0.0176396 -1.44526e-22)             (0.995156 -0.0176396 1.24517e-22)             (1.00037 0.0069038 0)             (1.00037 -0.0069038 0)
       0.1225             (0.943251 -0.00264148 8.56336e-22)             (0.995162 0.0176748 -1.48075e-22)             (0.995162 -0.0176748 1.27124e-22)             (1.00037 0.00692757 0)             (1.00037 -0.00692757 0)
        0.125             (0.943138 -0.00264824 8.59323e-22)             (0.995168 0.0177101 -1.51332e-22)             (0.995168 -0.0177101 1.2949e-22)             (1.00038 0.00695111 0)             (1.00038 -0.00695111 0)
       0.1275             (0.943025 -0.00265499 8.62284e-22)             (0.995174 0.0177453 -1.54209e-22)             (0.995174 -0.0177453 1.31576e-22)             (1.00038 0.00697444 0)             (1.00038 -0.00697444 0)
         0.13             (0.942911 -0.00266174 8.65445e-22)             (0.99518 0.0177805 -1.56876e-22)             (0.99518 -0.0177805 1.33508e-22)             (1.00039 0.00699757 0)             (1.00039 -0.00699757 0)
       0.1325             (0.942798 -0.00266847 8.68701e-22)             (0.995186 0.0178157 -1.5941e-22)             (0.995186 -0.0178157 1.35315e-22)             (1.00039 0.00702049 0)             (1.00039 -0.00702049 0)
        0.135             (0.942684 -0.0026752 8.71946e-22)             (0.995192 0.0178508 -1.61727e-22)             (0.995192 -0.0178508 1.36952e-22)             (1.0004 0.00704322 0)             (1.0004 -0.00704322 0)
       0.1375             (0.942571 -0.00268192 8.7525e-22)             (0.995198 0.017886 -1.63838e-22)             (0.995198 -0.017886 1.38428e-22)             (1.0004 0.00706576 0)             (1.0004 -0.00706576 0)
         0.14             (0.942457 -0.00268864 8.78576e-22)             (0.995203 0.0179211 -1.65746e-22)             (0.995203 -0.0179211 1.39744e-22)             (1.00041 0.00708811 0)             (1.00041 -0.00708811 0)
       0.1425             (0.942344 -0.00269535 8.81736e-22)             (0.995209 0.0179562 -1.67444e-22)             (0.995209 -0.0179562 1.40896e-22)             (1.00041 0.00711028 0)             (1.00041 -0.00711028 0)
